genus
Methylobacter
Methylomonas
Methylosarcina
Methylomicrobium
Methylococcus
Methylocystis
Methylosinus
Methylacidiphilum
Methylacidimicrobium
Methylomirabilis
Methylocapsa
Methylocella
Methylohalobius
Methylothermus
Methylosphaera
Methylocaldum
