"sample","ID_mound","species_s","mean_mound_fluxCH4","mean_mound_fluxCO2","mean_mound_fluxCH4_CO2","campaign","wall_thickness_mm","temp","precip_1mo","precip_2mo","precip_3mo","sa_m2_final","volume_m3_final","basal_area_m2","perimeter_m","mound_CH4flux","mound_CO2flux"
"MD58","MD58-aug23","N. magnus",1696.94210355927,206002.130950702,0.00798653310382347,"aug23",NA,27.0666666666667,17.1,26.1,30.1,3.512048,0.58725,2.1,5.25,5959.74212092114,723489.372001152
"MD58","MD58-feb24","N. magnus",3232.39566471534,1879483.84920908,0.00178617170494665,"feb24",12.206,40.8866666666667,160.2,580.6,1356.2,3.512048,0.58725,2.1,5.25,11352.3287294722,6600837.49364705
"MD58","MD58-may22","N. magnus",3141.22877677574,729839.256377681,0.0041377370938876,"may22",NA,39.9066666666667,129.9,177.9,273.4,3.512048,0.58725,2.1,5.25,11032.1462430177,2563230.50068272
"MD58","MD58-nov22","N. magnus",3920.85082967422,599172.541497151,0.00620481309332442,"nov22",NA,48.9733333333334,28,28,64.6,3.512048,0.58725,2.1,5.25,13770.2163146557,2104322.72601999
"MD59","MD59-aug23","C. acinaciformis",5920.85300686312,1627570.87773917,0.00371372161407521,"aug23",NA,26.5266666666667,17.1,26.1,30.1,2.440468,0.36595,1.5,4.44,14449.6522959532,3972034.64485436
"MD59","MD59-feb24","C. acinaciformis",273.688322049326,790717.225037275,0.00028330436175538,"feb24",37.738,37.62,160.2,580.6,1356.2,2.440468,0.36595,1.5,4.44,667.927591935074,1929720.08475227
"MD59","MD59-may22","C. acinaciformis",6995.67187969661,2622973.05119562,0.00243281512077888,"may22",NA,41.7733333333333,129.9,177.9,273.4,2.440468,0.36595,1.5,4.44,17072.7133608994,6401281.79630527
"MD59","MD59-nov22","C. acinaciformis",3529.82996802129,1512802.16118456,0.00298555771375113,"nov22",NA,36.0866666666667,28,28,64.6,2.440468,0.36595,1.5,4.44,8614.43708239698,3691945.26470176
"MD63","MD63-aug23","C. acinaciformis",5.27589060036298,264411.992314944,3.46666610633817e-05,"aug23",NA,22.7133333333333,17.1,26.1,30.1,4.279219,0.71065,2.1,5.29,22.5766912989947,1131476.82134196
"MD63","MD63-feb24","C. acinaciformis",1162.95781388071,1059707.10243087,0.000849156902531208,"feb24",87.526,36.9066666666667,160.2,580.6,1356.2,4.279219,0.71065,2.1,5.29,4976.55117335679,4534718.76715711
"MD63","MD63-may22","C. acinaciformis",368.278813468229,642516.324076085,0.000516122405600438,"may22",NA,25.88,129.9,177.9,273.4,4.279219,0.71065,2.1,5.29,1575.9456958907,2749468.06179654
"MD63","MD63-nov22","C. acinaciformis",1742.98052050781,832464.795485516,0.00170021322933243,"nov22",NA,36.84,28,28,64.6,4.279219,0.71065,2.1,5.29,7458.59535998693,3562299.16967274
"MD65","MD65-aug23","N. magnus",5144.46161421661,317879.859437934,0.0159032179016767,"aug23",NA,28.5333333333333,17.1,26.1,30.1,7.899422,1.43335,1.4,4.8,40638.2732534982,2511067.15500092
"MD65","MD65-feb24","N. magnus",4914.76275069114,297019.658852086,0.0166410715535953,"feb24",12.274,33.7933333333333,160.2,580.6,1356.2,7.899422,1.43335,1.4,4.8,38823.7849975901,2346283.62756866
"MD65","MD65-may22","N. magnus",4842.41705898749,251723.702414377,0.0190688461533088,"may22",NA,32.88,129.9,177.9,273.4,7.899422,1.43335,1.4,4.8,38252.2958489411,1988471.75277358
"MD65","MD65-nov22","N. magnus",7715.28397991756,355258.022679405,0.0210677127988312,"nov22",NA,43.8933333333333,28,28,64.6,7.899422,1.43335,1.4,4.8,60946.2840072083,2806333.04003019
