"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.57,144.92,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
-16.61,145.24,"Amitermes laurensis (Mjöberg, 1920)","AU","MATERIAL_SAMPLE"
