id,year,month,day,hour,minute,second,Etime,Tcham,sample
341,2023,8,10,15,58,19,40,27.71,cp4_F
342,2023,8,10,15,58,20,41,27.71,cp4_F
343,2023,8,10,15,58,21,42,27.71,cp4_F
344,2023,8,10,15,58,22,43,27.71,cp4_F
345,2023,8,10,15,58,23,44,27.71,cp4_F
346,2023,8,10,15,58,24,45,27.71,cp4_F
347,2023,8,10,15,58,25,46,27.71,cp4_F
348,2023,8,10,15,58,26,47,27.71,cp4_F
349,2023,8,10,15,58,27,48,27.71,cp4_F
350,2023,8,10,15,58,28,49,27.62,cp4_F
351,2023,8,10,15,58,29,50,27.71,cp4_F
352,2023,8,10,15,58,30,51,27.71,cp4_F
353,2023,8,10,15,58,31,52,27.71,cp4_F
354,2023,8,10,15,58,32,53,27.62,cp4_F
355,2023,8,10,15,58,33,54,27.62,cp4_F
356,2023,8,10,15,58,34,55,27.62,cp4_F
357,2023,8,10,15,58,35,56,27.62,cp4_F
358,2023,8,10,15,58,36,57,27.54,cp4_F
359,2023,8,10,15,58,38,58,27.54,cp4_F
360,2023,8,10,15,58,39,59,27.71,cp4_F
361,2023,8,10,15,58,40,60,27.62,cp4_F
362,2023,8,10,15,58,41,61,27.62,cp4_F
363,2023,8,10,15,58,42,62,27.62,cp4_F
364,2023,8,10,15,58,43,63,27.62,cp4_F
365,2023,8,10,15,58,44,64,27.62,cp4_F
366,2023,8,10,15,58,45,65,27.54,cp4_F
367,2023,8,10,15,58,46,66,27.54,cp4_F
368,2023,8,10,15,58,47,67,27.62,cp4_F
369,2023,8,10,15,58,48,68,27.62,cp4_F
370,2023,8,10,15,58,49,69,27.62,cp4_F
371,2023,8,10,15,58,50,70,27.62,cp4_F
372,2023,8,10,15,58,51,71,27.62,cp4_F
373,2023,8,10,15,58,52,72,27.54,cp4_F
374,2023,8,10,15,58,53,73,27.54,cp4_F
375,2023,8,10,15,58,54,74,27.62,cp4_F
376,2023,8,10,15,58,55,75,27.54,cp4_F
377,2023,8,10,15,58,56,76,27.62,cp4_F
378,2023,8,10,15,58,57,77,27.62,cp4_F
379,2023,8,10,15,58,58,78,27.54,cp4_F
380,2023,8,10,15,58,59,79,27.54,cp4_F
381,2023,8,10,15,59,0,80,27.54,cp4_F
382,2023,8,10,15,59,1,81,27.54,cp4_F
383,2023,8,10,15,59,2,82,27.54,cp4_F
384,2023,8,10,15,59,3,83,27.54,cp4_F
385,2023,8,10,15,59,4,84,27.54,cp4_F
386,2023,8,10,15,59,5,85,27.54,cp4_F
387,2023,8,10,15,59,6,86,27.54,cp4_F
388,2023,8,10,15,59,7,87,27.54,cp4_F
389,2023,8,10,15,59,8,88,27.54,cp4_F
390,2023,8,10,15,59,9,89,27.54,cp4_F
391,2023,8,10,15,59,10,90,27.45,cp4_F
392,2023,8,10,15,59,11,91,27.54,cp4_F
393,2023,8,10,15,59,12,92,27.54,cp4_F
394,2023,8,10,15,59,13,93,27.45,cp4_F
395,2023,8,10,15,59,15,94,27.54,cp4_F
396,2023,8,10,15,59,16,95,27.45,cp4_F
397,2023,8,10,15,59,17,96,27.54,cp4_F
398,2023,8,10,15,59,18,97,27.54,cp4_F
399,2023,8,10,15,59,19,98,27.54,cp4_F
400,2023,8,10,15,59,20,99,27.45,cp4_F
401,2023,8,10,15,59,21,100,27.45,cp4_F
402,2023,8,10,15,59,22,101,27.54,cp4_F
403,2023,8,10,15,59,23,102,27.54,cp4_F
404,2023,8,10,15,59,24,103,27.54,cp4_F
405,2023,8,10,15,59,25,104,27.54,cp4_F
406,2023,8,10,15,59,26,105,27.45,cp4_F
407,2023,8,10,15,59,27,106,27.45,cp4_F
408,2023,8,10,15,59,28,107,27.45,cp4_F
409,2023,8,10,15,59,29,108,27.54,cp4_F
410,2023,8,10,15,59,30,109,27.45,cp4_F
411,2023,8,10,15,59,31,110,27.45,cp4_F
412,2023,8,10,15,59,32,111,27.45,cp4_F
413,2023,8,10,15,59,33,112,27.45,cp4_F
414,2023,8,10,15,59,34,113,27.45,cp4_F
415,2023,8,10,15,59,35,114,27.37,cp4_F
416,2023,8,10,15,59,36,115,27.45,cp4_F
417,2023,8,10,15,59,37,116,27.45,cp4_F
418,2023,8,10,15,59,38,117,27.45,cp4_F
419,2023,8,10,15,59,39,118,27.45,cp4_F
420,2023,8,10,15,59,40,119,27.45,cp4_F
421,2023,8,10,15,59,41,120,27.37,cp4_F
422,2023,8,10,15,59,42,121,27.45,cp4_F
423,2023,8,10,15,59,43,122,27.45,cp4_F
424,2023,8,10,15,59,44,123,27.37,cp4_F
425,2023,8,10,15,59,45,124,27.45,cp4_F
426,2023,8,10,15,59,46,125,27.45,cp4_F
427,2023,8,10,15,59,47,126,27.45,cp4_F
428,2023,8,10,15,59,48,127,27.45,cp4_F
429,2023,8,10,15,59,49,128,27.45,cp4_F
430,2023,8,10,15,59,51,129,27.37,cp4_F
431,2023,8,10,15,59,52,130,27.45,cp4_F
432,2023,8,10,15,59,53,131,27.37,cp4_F
433,2023,8,10,15,59,54,132,27.37,cp4_F
434,2023,8,10,15,59,55,133,27.45,cp4_F
435,2023,8,10,15,59,56,134,27.37,cp4_F
436,2023,8,10,15,59,57,135,27.45,cp4_F
437,2023,8,10,15,59,58,136,27.37,cp4_F
438,2023,8,10,15,59,59,137,27.37,cp4_F
439,2023,8,10,16,0,0,138,27.37,cp4_F
440,2023,8,10,16,0,1,139,27.37,cp4_F
441,2023,8,10,16,0,2,140,27.37,cp4_F
442,2023,8,10,16,0,3,141,27.37,cp4_F
443,2023,8,10,16,0,4,142,27.29,cp4_F
444,2023,8,10,16,0,5,143,27.37,cp4_F
445,2023,8,10,16,0,6,144,27.45,cp4_F
446,2023,8,10,16,0,7,145,27.37,cp4_F
447,2023,8,10,16,0,8,146,27.37,cp4_F
448,2023,8,10,16,0,9,147,27.37,cp4_F
449,2023,8,10,16,0,10,148,27.37,cp4_F
450,2023,8,10,16,0,11,149,27.37,cp4_F
451,2023,8,10,16,0,12,150,27.37,cp4_F
452,2023,8,10,16,0,13,151,27.37,cp4_F
453,2023,8,10,16,0,14,152,27.37,cp4_F
454,2023,8,10,16,0,15,153,27.37,cp4_F
455,2023,8,10,16,0,16,154,27.37,cp4_F
456,2023,8,10,16,0,17,155,27.37,cp4_F
457,2023,8,10,16,0,18,156,27.37,cp4_F
458,2023,8,10,16,0,19,157,27.29,cp4_F
459,2023,8,10,16,0,20,158,27.29,cp4_F
460,2023,8,10,16,0,21,159,27.37,cp4_F
461,2023,8,10,16,0,22,160,27.29,cp4_F
462,2023,8,10,16,0,23,161,27.29,cp4_F
463,2023,8,10,16,0,24,162,27.29,cp4_F
464,2023,8,10,16,0,25,163,27.37,cp4_F
465,2023,8,10,16,0,27,164,27.37,cp4_F
466,2023,8,10,16,0,28,165,27.37,cp4_F
467,2023,8,10,16,0,29,166,27.37,cp4_F
468,2023,8,10,16,0,30,167,27.29,cp4_F
469,2023,8,10,16,0,31,168,27.37,cp4_F
470,2023,8,10,16,0,32,169,27.29,cp4_F
471,2023,8,10,16,0,33,170,27.37,cp4_F
472,2023,8,10,16,0,34,171,27.29,cp4_F
473,2023,8,10,16,0,35,172,27.29,cp4_F
474,2023,8,10,16,0,36,173,27.29,cp4_F
475,2023,8,10,16,0,37,174,27.29,cp4_F
476,2023,8,10,16,0,38,175,27.29,cp4_F
477,2023,8,10,16,0,39,176,27.37,cp4_F
478,2023,8,10,16,0,40,177,27.29,cp4_F
479,2023,8,10,16,0,41,178,27.29,cp4_F
480,2023,8,10,16,0,42,179,27.29,cp4_F
481,2023,8,10,16,0,43,180,27.29,cp4_F
