id,year,month,day,hour,minute,second,Etime,Tcham
148,2023,8,10,16,15,41,88,27.29
149,2023,8,10,16,15,42,89,27.29
150,2023,8,10,16,15,43,90,27.29
151,2023,8,10,16,15,44,91,27.29
152,2023,8,10,16,15,45,92,27.29
153,2023,8,10,16,15,46,93,27.29
154,2023,8,10,16,15,47,94,27.29
155,2023,8,10,16,15,48,95,27.29
156,2023,8,10,16,15,50,96,27.29
157,2023,8,10,16,15,51,97,27.29
158,2023,8,10,16,15,52,98,27.29
159,2023,8,10,16,15,53,99,27.20
160,2023,8,10,16,15,54,100,27.29
161,2023,8,10,16,15,55,101,27.29
162,2023,8,10,16,15,56,102,27.29
163,2023,8,10,16,15,57,103,27.20
164,2023,8,10,16,15,58,104,27.29
165,2023,8,10,16,15,59,105,27.29
166,2023,8,10,16,16,0,106,27.29
167,2023,8,10,16,16,1,107,27.29
168,2023,8,10,16,16,2,108,27.29
169,2023,8,10,16,16,3,109,27.20
170,2023,8,10,16,16,4,110,27.20
171,2023,8,10,16,16,5,111,27.29
172,2023,8,10,16,16,6,112,27.20
173,2023,8,10,16,16,7,113,27.29
174,2023,8,10,16,16,8,114,27.29
175,2023,8,10,16,16,9,115,27.20
176,2023,8,10,16,16,10,116,27.20
177,2023,8,10,16,16,11,117,27.20
178,2023,8,10,16,16,12,118,27.20
179,2023,8,10,16,16,13,119,27.29
180,2023,8,10,16,16,14,120,27.29
181,2023,8,10,16,16,15,121,27.29
182,2023,8,10,16,16,16,122,27.29
183,2023,8,10,16,16,17,123,27.20
184,2023,8,10,16,16,18,124,27.20
185,2023,8,10,16,16,19,125,27.20
186,2023,8,10,16,16,20,126,27.20
187,2023,8,10,16,16,21,127,27.20
188,2023,8,10,16,16,22,128,27.12
189,2023,8,10,16,16,23,129,27.20
190,2023,8,10,16,16,24,130,27.20
191,2023,8,10,16,16,26,131,27.20
192,2023,8,10,16,16,27,132,27.20
193,2023,8,10,16,16,28,133,27.20
194,2023,8,10,16,16,29,134,27.12
195,2023,8,10,16,16,30,135,27.20
196,2023,8,10,16,16,31,136,27.20
197,2023,8,10,16,16,32,137,27.12
198,2023,8,10,16,16,33,138,27.20
199,2023,8,10,16,16,34,139,27.20
200,2023,8,10,16,16,35,140,27.12
201,2023,8,10,16,16,36,141,27.20
202,2023,8,10,16,16,37,142,27.20
203,2023,8,10,16,16,38,143,27.12
204,2023,8,10,16,16,39,144,27.20
205,2023,8,10,16,16,40,145,27.20
206,2023,8,10,16,16,41,146,27.20
207,2023,8,10,16,16,42,147,27.12
208,2023,8,10,16,16,43,148,27.20
209,2023,8,10,16,16,44,149,27.20
210,2023,8,10,16,16,45,150,27.20
211,2023,8,10,16,16,46,151,27.20
212,2023,8,10,16,16,47,152,27.20
213,2023,8,10,16,16,48,153,27.20
214,2023,8,10,16,16,49,154,27.20
215,2023,8,10,16,16,50,155,27.20
216,2023,8,10,16,16,51,156,27.12
217,2023,8,10,16,16,52,157,27.12
218,2023,8,10,16,16,53,158,27.12
219,2023,8,10,16,16,54,159,27.20
220,2023,8,10,16,16,55,160,27.12
221,2023,8,10,16,16,56,161,27.12
222,2023,8,10,16,16,57,162,27.12
223,2023,8,10,16,16,58,163,27.20
224,2023,8,10,16,16,59,164,27.03
225,2023,8,10,16,17,0,165,27.12
226,2023,8,10,16,17,1,166,27.12
227,2023,8,10,16,17,3,167,27.20
228,2023,8,10,16,17,4,168,27.20
229,2023,8,10,16,17,5,169,27.12
230,2023,8,10,16,17,6,170,27.20
231,2023,8,10,16,17,7,171,27.20
232,2023,8,10,16,17,8,172,27.20
233,2023,8,10,16,17,9,173,27.12
234,2023,8,10,16,17,10,174,27.12
235,2023,8,10,16,17,11,175,27.20
236,2023,8,10,16,17,12,176,27.12
237,2023,8,10,16,17,13,177,27.12
238,2023,8,10,16,17,14,178,27.12
239,2023,8,10,16,17,15,179,27.03
240,2023,8,10,16,17,16,180,27.12
