id,year,month,day,hour,minute,second,Etime,Tcham
47,2023,8,31,13,27,51,-13,23.84
48,2023,8,31,13,27,52,-12,23.84
49,2023,8,31,13,27,53,-11,23.84
50,2023,8,31,13,27,54,-10,23.76
51,2023,8,31,13,27,56,-9,23.84
52,2023,8,31,13,27,57,-8,23.84
53,2023,8,31,13,27,58,-7,23.76
54,2023,8,31,13,27,59,-6,23.84
55,2023,8,31,13,28,0,-5,23.84
56,2023,8,31,13,28,1,-4,23.84
57,2023,8,31,13,28,2,-3,23.76
58,2023,8,31,13,28,3,-2,23.84
59,2023,8,31,13,28,4,-1,23.84
60,2023,8,31,13,28,5,0,23.84
61,2023,8,31,13,28,6,1,23.76
62,2023,8,31,13,28,7,2,23.76
63,2023,8,31,13,28,8,3,23.76
64,2023,8,31,13,28,9,4,23.84
65,2023,8,31,13,28,10,5,23.76
66,2023,8,31,13,28,11,6,23.76
67,2023,8,31,13,28,12,7,23.76
68,2023,8,31,13,28,13,8,23.76
69,2023,8,31,13,28,14,9,23.76
70,2023,8,31,13,28,15,10,23.76
71,2023,8,31,13,28,16,11,23.84
72,2023,8,31,13,28,17,12,23.76
73,2023,8,31,13,28,18,13,23.84
74,2023,8,31,13,28,19,14,23.76
75,2023,8,31,13,28,20,15,23.84
76,2023,8,31,13,28,21,16,23.76
77,2023,8,31,13,28,22,17,23.76
78,2023,8,31,13,28,23,18,23.84
79,2023,8,31,13,28,24,19,23.76
80,2023,8,31,13,28,25,20,23.76
81,2023,8,31,13,28,26,21,23.76
82,2023,8,31,13,28,27,22,23.76
83,2023,8,31,13,28,28,23,23.76
84,2023,8,31,13,28,29,24,23.76
85,2023,8,31,13,28,30,25,23.84
86,2023,8,31,13,28,31,26,23.84
87,2023,8,31,13,28,32,27,23.76
88,2023,8,31,13,28,34,28,23.84
89,2023,8,31,13,28,35,29,23.76
90,2023,8,31,13,28,36,30,23.84
91,2023,8,31,13,28,37,31,23.76
92,2023,8,31,13,28,38,32,23.76
93,2023,8,31,13,28,39,33,23.76
94,2023,8,31,13,28,40,34,23.84
95,2023,8,31,13,28,41,35,23.76
96,2023,8,31,13,28,42,36,23.76
97,2023,8,31,13,28,43,37,23.84
98,2023,8,31,13,28,44,38,23.84
99,2023,8,31,13,28,45,39,23.84
100,2023,8,31,13,28,46,40,23.76
101,2023,8,31,13,28,47,41,23.76
102,2023,8,31,13,28,48,42,23.76
103,2023,8,31,13,28,49,43,23.84
104,2023,8,31,13,28,50,44,23.76
105,2023,8,31,13,28,51,45,23.76
106,2023,8,31,13,28,52,46,23.76
107,2023,8,31,13,28,53,47,23.76
108,2023,8,31,13,28,54,48,23.84
109,2023,8,31,13,28,55,49,23.84
110,2023,8,31,13,28,56,50,23.76
111,2023,8,31,13,28,57,51,23.84
112,2023,8,31,13,28,58,52,23.76
113,2023,8,31,13,28,59,53,23.76
114,2023,8,31,13,29,0,54,23.84
115,2023,8,31,13,29,1,55,23.76
116,2023,8,31,13,29,2,56,23.84
117,2023,8,31,13,29,3,57,23.84
118,2023,8,31,13,29,4,58,23.76
119,2023,8,31,13,29,5,59,23.76
120,2023,8,31,13,29,6,60,23.84
121,2023,8,31,13,29,7,61,23.76
122,2023,8,31,13,29,8,62,23.84
123,2023,8,31,13,29,9,63,23.76
124,2023,8,31,13,29,11,64,23.76
125,2023,8,31,13,29,12,65,23.84
126,2023,8,31,13,29,13,66,23.84
127,2023,8,31,13,29,14,67,23.84
128,2023,8,31,13,29,15,68,23.84
129,2023,8,31,13,29,16,69,23.76
130,2023,8,31,13,29,17,70,23.84
131,2023,8,31,13,29,18,71,23.76
132,2023,8,31,13,29,19,72,23.76
133,2023,8,31,13,29,20,73,23.76
134,2023,8,31,13,29,21,74,23.84
135,2023,8,31,13,29,22,75,23.76
136,2023,8,31,13,29,23,76,23.76
137,2023,8,31,13,29,24,77,23.76
138,2023,8,31,13,29,25,78,23.84
139,2023,8,31,13,29,26,79,23.84
140,2023,8,31,13,29,27,80,23.84
141,2023,8,31,13,29,28,81,23.76
142,2023,8,31,13,29,29,82,23.76
143,2023,8,31,13,29,30,83,23.76
144,2023,8,31,13,29,31,84,23.76
145,2023,8,31,13,29,32,85,23.84
146,2023,8,31,13,29,33,86,23.76
147,2023,8,31,13,29,34,87,23.84
148,2023,8,31,13,29,35,88,23.84
149,2023,8,31,13,29,36,89,23.84
150,2023,8,31,13,29,37,90,23.84
151,2023,8,31,13,29,38,91,23.84
152,2023,8,31,13,29,39,92,23.76
153,2023,8,31,13,29,40,93,23.76
154,2023,8,31,13,29,41,94,23.84
155,2023,8,31,13,29,42,95,23.76
156,2023,8,31,13,29,43,96,23.84
157,2023,8,31,13,29,44,97,23.84
158,2023,8,31,13,29,45,98,23.76
159,2023,8,31,13,29,46,99,23.84
160,2023,8,31,13,29,48,100,23.76
161,2023,8,31,13,29,49,101,23.84
162,2023,8,31,13,29,50,102,23.84
163,2023,8,31,13,29,51,103,23.76
164,2023,8,31,13,29,52,104,23.84
165,2023,8,31,13,29,53,105,23.76
166,2023,8,31,13,29,54,106,23.84
167,2023,8,31,13,29,55,107,23.84
168,2023,8,31,13,29,56,108,23.76
