id,year,month,day,hour,minute,second,Etime,Tcham,sample
356,2023,8,31,13,14,30,55,23.67,cp1_L
357,2023,8,31,13,14,31,56,23.59,cp1_L
358,2023,8,31,13,14,32,57,23.59,cp1_L
359,2023,8,31,13,14,33,58,23.67,cp1_L
360,2023,8,31,13,14,34,59,23.67,cp1_L
361,2023,8,31,13,14,35,60,23.59,cp1_L
362,2023,8,31,13,14,36,61,23.59,cp1_L
363,2023,8,31,13,14,37,62,23.67,cp1_L
364,2023,8,31,13,14,38,63,23.67,cp1_L
365,2023,8,31,13,14,39,64,23.59,cp1_L
366,2023,8,31,13,14,40,65,23.67,cp1_L
367,2023,8,31,13,14,41,66,23.59,cp1_L
368,2023,8,31,13,14,42,67,23.67,cp1_L
369,2023,8,31,13,14,43,68,23.67,cp1_L
370,2023,8,31,13,14,44,69,23.59,cp1_L
371,2023,8,31,13,14,45,70,23.67,cp1_L
372,2023,8,31,13,14,46,71,23.67,cp1_L
373,2023,8,31,13,14,47,72,23.67,cp1_L
374,2023,8,31,13,14,48,73,23.59,cp1_L
375,2023,8,31,13,14,49,74,23.67,cp1_L
376,2023,8,31,13,14,50,75,23.67,cp1_L
377,2023,8,31,13,14,51,76,23.67,cp1_L
378,2023,8,31,13,14,52,77,23.59,cp1_L
379,2023,8,31,13,14,53,78,23.59,cp1_L
380,2023,8,31,13,14,54,79,23.67,cp1_L
381,2023,8,31,13,14,55,80,23.67,cp1_L
382,2023,8,31,13,14,56,81,23.67,cp1_L
383,2023,8,31,13,14,57,82,23.59,cp1_L
384,2023,8,31,13,14,58,83,23.67,cp1_L
385,2023,8,31,13,15,0,84,23.59,cp1_L
386,2023,8,31,13,15,1,85,23.67,cp1_L
387,2023,8,31,13,15,2,86,23.67,cp1_L
388,2023,8,31,13,15,3,87,23.67,cp1_L
389,2023,8,31,13,15,4,88,23.67,cp1_L
390,2023,8,31,13,15,5,89,23.59,cp1_L
391,2023,8,31,13,15,6,90,23.67,cp1_L
392,2023,8,31,13,15,7,91,23.67,cp1_L
393,2023,8,31,13,15,8,92,23.67,cp1_L
394,2023,8,31,13,15,9,93,23.67,cp1_L
395,2023,8,31,13,15,10,94,23.67,cp1_L
396,2023,8,31,13,15,11,95,23.59,cp1_L
397,2023,8,31,13,15,12,96,23.67,cp1_L
398,2023,8,31,13,15,13,97,23.67,cp1_L
399,2023,8,31,13,15,14,98,23.59,cp1_L
400,2023,8,31,13,15,15,99,23.59,cp1_L
401,2023,8,31,13,15,16,100,23.59,cp1_L
402,2023,8,31,13,15,17,101,23.59,cp1_L
403,2023,8,31,13,15,18,102,23.59,cp1_L
404,2023,8,31,13,15,19,103,23.59,cp1_L
405,2023,8,31,13,15,20,104,23.67,cp1_L
406,2023,8,31,13,15,21,105,23.67,cp1_L
407,2023,8,31,13,15,22,106,23.59,cp1_L
408,2023,8,31,13,15,23,107,23.59,cp1_L
409,2023,8,31,13,15,24,108,23.67,cp1_L
410,2023,8,31,13,15,25,109,23.67,cp1_L
411,2023,8,31,13,15,26,110,23.67,cp1_L
412,2023,8,31,13,15,27,111,23.59,cp1_L
413,2023,8,31,13,15,28,112,23.67,cp1_L
414,2023,8,31,13,15,29,113,23.67,cp1_L
415,2023,8,31,13,15,30,114,23.67,cp1_L
416,2023,8,31,13,15,31,115,23.59,cp1_L
417,2023,8,31,13,15,32,116,23.67,cp1_L
418,2023,8,31,13,15,33,117,23.67,cp1_L
419,2023,8,31,13,15,34,118,23.59,cp1_L
420,2023,8,31,13,15,35,119,23.67,cp1_L
421,2023,8,31,13,15,37,120,23.67,cp1_L
422,2023,8,31,13,15,38,121,23.59,cp1_L
423,2023,8,31,13,15,39,122,23.67,cp1_L
424,2023,8,31,13,15,40,123,23.67,cp1_L
425,2023,8,31,13,15,41,124,23.67,cp1_L
426,2023,8,31,13,15,42,125,23.59,cp1_L
427,2023,8,31,13,15,43,126,23.59,cp1_L
428,2023,8,31,13,15,44,127,23.67,cp1_L
429,2023,8,31,13,15,45,128,23.59,cp1_L
430,2023,8,31,13,15,46,129,23.67,cp1_L
431,2023,8,31,13,15,47,130,23.59,cp1_L
432,2023,8,31,13,15,48,131,23.59,cp1_L
433,2023,8,31,13,15,49,132,23.59,cp1_L
434,2023,8,31,13,15,50,133,23.59,cp1_L
435,2023,8,31,13,15,51,134,23.67,cp1_L
436,2023,8,31,13,15,52,135,23.67,cp1_L
437,2023,8,31,13,15,53,136,23.67,cp1_L
438,2023,8,31,13,15,54,137,23.67,cp1_L
439,2023,8,31,13,15,55,138,23.67,cp1_L
440,2023,8,31,13,15,56,139,23.67,cp1_L
441,2023,8,31,13,15,57,140,23.59,cp1_L
442,2023,8,31,13,15,58,141,23.59,cp1_L
443,2023,8,31,13,15,59,142,23.59,cp1_L
444,2023,8,31,13,16,0,143,23.67,cp1_L
445,2023,8,31,13,16,1,144,23.67,cp1_L
446,2023,8,31,13,16,2,145,23.59,cp1_L
447,2023,8,31,13,16,3,146,23.59,cp1_L
448,2023,8,31,13,16,4,147,23.67,cp1_L
449,2023,8,31,13,16,5,148,23.67,cp1_L
450,2023,8,31,13,16,6,149,23.67,cp1_L
451,2023,8,31,13,16,7,150,23.67,cp1_L
452,2023,8,31,13,16,8,151,23.59,cp1_L
453,2023,8,31,13,16,9,152,23.59,cp1_L
454,2023,8,31,13,16,10,153,23.67,cp1_L
455,2023,8,31,13,16,11,154,23.67,cp1_L
456,2023,8,31,13,16,13,155,23.67,cp1_L
457,2023,8,31,13,16,14,156,23.59,cp1_L
458,2023,8,31,13,16,15,157,23.59,cp1_L
459,2023,8,31,13,16,16,158,23.67,cp1_L
460,2023,8,31,13,16,17,159,23.59,cp1_L
461,2023,8,31,13,16,18,160,23.67,cp1_L
462,2023,8,31,13,16,19,161,23.67,cp1_L
463,2023,8,31,13,16,20,162,23.59,cp1_L
464,2023,8,31,13,16,21,163,23.67,cp1_L
465,2023,8,31,13,16,22,164,23.59,cp1_L
466,2023,8,31,13,16,23,165,23.67,cp1_L
467,2023,8,31,13,16,24,166,23.59,cp1_L
468,2023,8,31,13,16,25,167,23.59,cp1_L
469,2023,8,31,13,16,26,168,23.67,cp1_L
470,2023,8,31,13,16,27,169,23.67,cp1_L
471,2023,8,31,13,16,28,170,23.59,cp1_L
472,2023,8,31,13,16,29,171,23.59,cp1_L
473,2023,8,31,13,16,30,172,23.67,cp1_L
474,2023,8,31,13,16,31,173,23.67,cp1_L
475,2023,8,31,13,16,32,174,23.59,cp1_L
476,2023,8,31,13,16,33,175,23.67,cp1_L
477,2023,8,31,13,16,34,176,23.59,cp1_L
478,2023,8,31,13,16,35,177,23.67,cp1_L
479,2023,8,31,13,16,36,178,23.59,cp1_L
480,2023,8,31,13,16,37,179,23.67,cp1_L
481,2023,8,31,13,16,38,180,23.67,cp1_L
